Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	0.766218	0.157587	0.442095
ENSMUSG00000025900	Rp1	1	-	4069780	4479464	0.000000	0.000000	0.000000
ENSMUSG00000102948	Gm6101	1	-	4326457	4330742	0.000000	0.000000	0.000000
ENSMUSG00000104123	Gm37483	1	-	4433569	4435052	0.000000	0.000000	0.000000
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.000000	0.000000	0.000000
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	2.168692	1.210540	3.396045
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.048680	0.010327	0.028971
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	28.661306	9.817966	27.543297
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.056403	0.011600	0.032544
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.022400	0.004607	0.012924
ENSMUSG00000118917	AC129937.1	1	+	4599240	4599346	0.747664	0.153771	0.431389
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	2.666043	0.548322	1.538261
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	13.702662	5.815619	16.315121
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.393913	0.286685	0.804264
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	13.781373	7.917344	22.211296
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.045608	0.009380	0.026315
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	32.313576	31.130640	87.333809
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	14.446106	2.971114	8.335155
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	9.083709	1.868236	5.241144
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	16.319853	19.864010	55.726437
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.077206	0.015879	0.044547
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.105805	0.021761	0.061048
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	69.760353	81.436592	228.462006
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	29.039778	13.088831	36.719368
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	2.347779	0.482865	1.354628
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	19.115971	13.663624	38.331894
