Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
RHOG	ENST00000351018.4	ras homolog family member G 	58	2	1	1	0	2	0	2	0	1	hsa-miR-124-3p.1	-1.44	-1.44	0.91	2007, 2009, 2011
CTDSP1	ENST00000273062.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 	1299	4	0	4	0	1	0	0	1	3	hsa-miR-124-3p.1	-1.37	-1.37	> 0.99	2007, 2009, 2011
SNAI2	ENST00000020945.1	snail family zinc finger 2 	1233	3	1	2	0	0	0	0	0	0	hsa-miR-124-3p.1	-1.28	-1.28	> 0.99	2009, 2011
LRRC58	ENST00000295628.3	leucine rich repeat containing 58 	940	3	3	0	0	0	0	0	0	1	hsa-miR-124-3p.1	-1.16	-1.18	> 0.99	2009, 2011
B4GALT1	ENST00000379731.4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 	2265	3	1	2	0	0	0	0	0	3	hsa-miR-124-3p.1	-1.14	-1.21	> 0.99	2007, 2009, 2011
SLC10A7	ENST00000264986.3	solute carrier family 10, member 7 	77	2	1	1	0	0	0	0	0	0	hsa-miR-124-3p.1	-1.01	-1.01	0.98	2007, 2009, 2011
VAMP3	ENST00000054666.6	vesicle-associated membrane protein 3 	515	3	1	2	0	0	0	0	0	2	hsa-miR-124-3p.1	-0.98	-1.49	> 0.99	2007, 2009, 2011
MAGT1	ENST00000358075.6	magnesium transporter 1 	937	2	2	0	0	1	0	0	1	0	hsa-miR-124-3p.1	-0.92	-1.05	> 0.99	2011
SERINC2	ENST00000373709.3	serine incorporator 2 	624	2	1	1	0	0	0	0	0	0	hsa-miR-124-3p.1	-0.90	-0.90	0.98	2007, 2009, 2011
SERP1	ENST00000239944.2	stress-associated endoplasmic reticulum protein 1 	3242	2	1	1	0	0	0	0	0	3	hsa-miR-124-3p.1	-0.88	-1.06	> 0.99	2007, 2009, 2011
TRIM45	ENST00000256649.4	tripartite motif containing 45 	99	1	1	0	0	3	0	3	0	1	hsa-miR-124-3p.1	-0.86	-1.01	0.96	2009, 2011
PDCD6	ENST00000505221.1	programmed cell death 6 	4780	1	1	0	0	0	0	0	0	1	hsa-miR-124-3p.1	-0.81	-0.87	0.95	2007, 2009, 2011
ITGB1	ENST00000396033.2	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) 	2098	2	0	2	0	0	0	0	0	2	hsa-miR-124-3p.1	-0.81	-0.81	0.99	2007, 2009, 2011
CEBPA	ENST00000498907.2	CCAAT/enhancer binding protein (C/EBP), alpha 	12449	3	0	3	0	0	0	0	0	1	hsa-miR-124-3p.1	-0.81	-0.81	> 0.99	2011
SPOPL	ENST00000280098.4	speckle-type POZ protein-like 	216	2	0	2	0	1	0	1	0	1	hsa-miR-124-3p.1	-0.80	-0.89	0.95	2007, 2009, 2011
RAB27A	ENST00000396307.2	RAB27A, member RAS oncogene family 	181	1	1	0	0	2	1	0	1	0	hsa-miR-124-3p.1	-0.79	-0.80	0.87	2011
CHIC1	ENST00000373504.6	cysteine-rich hydrophobic domain 1 	16	4	0	3	1	0	0	0	0	1	hsa-miR-124-3p.1	-0.76	-0.91	> 0.99	2007, 2009, 2011
PTBP1	ENST00000350092.4	polypyrimidine tract binding protein 1 	7007	2	1	0	1	1	0	0	1	2	hsa-miR-124-3p.1	-0.75	-0.76	0.96	2007, 2009, 2011
CCDC177	ENST00000543986.1	coiled-coil domain containing 177 	0	2	0	1	1	0	0	0	0	2	hsa-miR-124-3p.1	-0.75	-0.75	0.98	
