Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	0.244798	0.112012	0.256142
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	8.476863	6.549613	14.977170
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.014292	0.006540	0.014954
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.035126	0.016073	0.036754
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.000000	0.000000	0.000000
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.000000	0.000000	0.000000
ENSMUSG00000102735	Gm7369	1	+	4680694	4681629	0.007784	0.003562	0.008145
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.236395	0.108167	0.247349
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.072416	0.033135	0.075772
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	1.651797	2.107223	4.818642
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.001928	0.000910	0.002081
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	7.572030	3.464739	7.922909
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	5.267232	4.888795	11.179335
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.286957	0.588874	1.346593
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	5.805262	7.596589	17.371317
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.066201	0.030292	0.069269
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	12.009991	25.706562	58.783871
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	9.451907	4.324916	9.889897
ENSMUSG00000104046	Gm37567	1	+	5377962	5380240	0.019625	0.008980	0.020534
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	0.719122	0.329049	0.752445
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	11.017485	11.406634	26.083849
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	2.880288	1.317935	3.013757
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	7.289769	21.723135	49.674858
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.073529	0.033645	0.076936
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.093677	0.042864	0.098018
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.013960	0.006388	0.014607
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.226700	0.103731	0.237205
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	27.535450	72.370384	165.491257
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	1.075117	0.491942	1.124937
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	0.000000	0.000000	0.000000
ENSMUSG00000103845	Gm19026	1	-	6499879	6511520	2.133333	0.976151	2.232189
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	7.201057	11.614302	26.558725
ENSMUSG00000090031	4732440D04Rik	1	-	6280090	6285517	2.236349	1.023288	2.339979
ENSMUSG00000102135	Gm37108	1	+	6986783	6993812	1.854034	0.848352	1.939948
ENSMUSG00000033740	St18	1	+	6557455	6931164	1.794304	2.182776	4.991411
ENSMUSG00000103329	Gm42492	1	-	6931461	6934375	0.615780	0.281763	0.644315
ENSMUSG00000048538	Gm9826	1	+	7247963	7249261	1.630870	0.746238	1.706443
ENSMUSG00000104226	Gm7470	1	+	7667603	7669697	0.060382	0.027629	0.063180
ENSMUSG00000103903	Rps2-ps2	1	+	7734305	7735185	0.023496	0.010751	0.024585
ENSMUSG00000103067	Gm30414	1	+	7568192	7588373	0.000000	0.000000	0.000000
ENSMUSG00000097797	Gm26901	1	-	7419630	7468093	0.094223	0.834557	1.908403
ENSMUSG00000051285	Pcmtd1	1	+	7159144	7243852	40.478691	27.619732	63.158764
ENSMUSG00000098201	Gm26983	1	-	7206423	7206810	0.173325	0.079308	0.181357
ENSMUSG00000103509	Gm38372	1	+	7218334	7222361	4.882075	2.233894	5.108305
ENSMUSG00000101571	Gm6187	1	-	9466998	9468912	0.000000	0.000000	0.000000
ENSMUSG00000103411	Gm18300	1	-	9569563	9571747	0.142248	0.065089	0.148840
ENSMUSG00000061024	Rrs1	1	+	9615633	9617680	14.814551	6.778705	15.501040
ENSMUSG00000025912	Mybl1	1	-	9737640	9770434	0.695483	0.348014	0.795812
ENSMUSG00000025911	Adhfe1	1	+	9618173	9650898	10.185670	6.958361	15.911865
ENSMUSG00000079671	2610203C22Rik	1	-	9631057	9701400	0.060864	0.363679	0.831634
ENSMUSG00000081441	Gm6161	1	+	9644773	9645874	4.636993	2.121752	4.851866
ENSMUSG00000067879	Vxn	1	+	9671424	9697368	15.566012	7.122551	16.287323
ENSMUSG00000045210	Vcpip1	1	-	9788847	9818607	15.270980	6.987553	15.978621
ENSMUSG00000097893	1700034P13Rik	1	+	9817873	9862149	0.039613	0.138510	0.316735
ENSMUSG00000099032	Tcf24	1	-	10030388	10038157	0.125447	0.091202	0.208554
ENSMUSG00000104025	E330040D14Rik	1	+	10037539	10038912	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	10038849	10079361	0.749836	0.492013	1.125100
ENSMUSG00000087199	Gm15818	1	+	10052612	10062591	0.000000	0.000000	0.000000
ENSMUSG00000046101	Mcmdc2	1	+	9978863	10012310	1.321064	1.409913	3.224084
ENSMUSG00000098234	Snhg6	1	-	10012184	10014343	14.916451	15.389342	35.191212
ENSMUSG00000093178	Snord87	1	-	10012688	10012774	2.747126	1.257004	2.874425
ENSMUSG00000025909	Sntg1	1	-	8431699	9370103	0.696199	4.266736	9.756857
ENSMUSG00000102647	Gm38024	1	-	8521184	8523715	0.207741	0.095056	0.217367
ENSMUSG00000086235	Gm16284	1	-	8538650	8539049	0.492500	0.225354	0.515322
ENSMUSG00000102253	Gm38259	1	-	8598004	8601537	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8713920	8715083	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8862147	8862386	0.181944	0.083252	0.190375
ENSMUSG00000103933	Gm36964	1	+	8886066	8886263	5.649006	2.584820	5.910775
ENSMUSG00000086195	Gm6152	1	-	8926152	8926491	0.005882	0.002691	0.006155
ENSMUSG00000104504	Gm7445	1	+	8926987	8927326	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	9033220	9033845	1.753038	0.802139	1.834272
ENSMUSG00000102316	Gm37629	1	-	9261292	9262341	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9328842	9329359	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9357147	9360405	0.000000	0.000000	0.000000
ENSMUSG00000025915	Sgk3	1	+	9868332	9971070	2.546416	10.048306	22.977728
ENSMUSG00000046334	Gm6195	1	-	9872422	9872778	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10094826	10108393	25.834558	26.989704	61.718063
ENSMUSG00000056763	Cspp1	1	+	10108212	10206993	3.264081	11.678226	26.704906
ENSMUSG00000102356	1700047N06Rik	1	-	10127250	10128169	0.000000	0.000000	0.000000
ENSMUSG00000100212	Gm5522	1	+	10875505	10876746	0.435185	0.199128	0.455351
ENSMUSG00000100648	Gm28659	1	+	10938912	10939670	0.006719	0.003074	0.007030
ENSMUSG00000067851	Arfgef1	1	-	10207796	10302895	19.960596	15.007404	34.317822
ENSMUSG00000102556	Gm37569	1	-	10267306	10269027	0.058072	0.026572	0.060763
ENSMUSG00000042501	Cpa6	1	-	10394945	10790170	0.000863	0.000568	0.001300
ENSMUSG00000103810	Gm38005	1	-	10519470	10522214	0.000000	0.000000	0.000000
ENSMUSG00000083422	Gm15604	1	-	10624323	10625778	0.000000	0.000000	0.000000
ENSMUSG00000119312	AC102469.1	1	-	10625779	10625885	0.000000	0.000000	0.000000
ENSMUSG00000081417	Gm15603	1	+	10765348	10765839	0.000000	0.000000	0.000000
ENSMUSG00000101610	Gm7560	1	+	12191184	12192056	0.501909	0.229659	0.525167
ENSMUSG00000097628	Gm2383	1	+	12635801	12636607	1.453159	0.664923	1.520497
ENSMUSG00000048960	Prex2	1	+	11063689	11373905	6.591071	6.892620	15.761536
ENSMUSG00000077318	Gm24173	1	-	11204335	11204462	0.000000	0.000000	0.000000
ENSMUSG00000101827	Gm28686	1	-	11293790	11294398	0.000000	0.000000	0.000000
ENSMUSG00000042414	Prdm14	1	-	13183681	13197387	0.078003	0.035692	0.081618
ENSMUSG00000025938	Slco5a1	1	-	12936773	13062874	2.737583	3.894804	8.906350
ENSMUSG00000016918	Sulf1	1	+	12762501	12931416	4.573218	8.468362	19.364826
ENSMUSG00000057715	A830018L16Rik	1	+	11484329	12046125	8.644288	12.829810	29.338263
ENSMUSG00000103825	Gm38178	1	+	11487142	11489612	0.072036	0.032962	0.075374
ENSMUSG00000099845	Gm29273	1	-	11678363	11678624	0.000000	0.000000	0.000000
ENSMUSG00000103561	Gm38069	1	+	11774431	11776574	0.000000	0.000000	0.000000
ENSMUSG00000101171	Gm7593	1	-	13477236	13477879	0.048913	0.022381	0.051180
ENSMUSG00000025935	Tram1	1	-	13634922	13660134	15.344562	7.762293	17.750238
ENSMUSG00000102166	Gm36947	1	-	13917095	13919343	0.044464	0.020345	0.046524
ENSMUSG00000097711	Gm5523	1	-	13856107	13857103	2.619563	1.198635	2.740951
ENSMUSG00000025937	Lactb2	1	-	13693554	13730770	5.414765	2.525909	5.776062
