Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	0.335373	0.161421	0.377319
ENSMUSG00000102735	Gm7369	1	+	4680694	4681629	0.016178	0.007787	0.018201
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.101137	0.048679	0.113787
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	1.927453	2.226523	5.204470
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.010695	0.005309	0.012411
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.031786	0.015299	0.035762
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.168367	0.081038	0.189425
ENSMUSG00000104328	Gm37323	1	-	4653352	4656475	0.018392	0.008852	0.020692
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	5.904116	2.841754	6.642567
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	5.085130	5.184665	12.119092
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.377391	0.662962	1.549667
ENSMUSG00000025900	Rp1	1	-	4069780	4479464	0.003539	0.003504	0.008189
ENSMUSG00000102948	Gm6101	1	-	4326457	4330742	0.000000	0.000000	0.000000
ENSMUSG00000104123	Gm37483	1	-	4433569	4435052	0.000000	0.000000	0.000000
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	10.472760	8.511780	19.896185
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.035474	0.017074	0.039911
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.030452	0.014657	0.034261
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.018359	0.008837	0.020655
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.001693	0.000815	0.001905
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.444001	0.213705	0.499534
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	6.004831	8.140809	19.029045
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.048372	0.023282	0.054422
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	12.143972	27.302942	63.820301
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	12.926973	6.221978	14.543799
ENSMUSG00000104046	Gm37567	1	+	5377962	5380240	0.038111	0.018343	0.042878
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	0.995937	0.479362	1.120503
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	17.832478	19.128147	44.711819
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	6.227723	2.997512	7.006649
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	7.315401	23.050209	53.879597
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	1.268382	0.610494	1.427023
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.180328	0.086795	0.202882
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.028242	0.013593	0.031774
