Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Plekhg1	ENSMUST00000120274.2	pleckstrin homology domain containing, family G (with RhoGef domain) member 1 	302	1	1	0	0	4	1	1	2	0	mmu-miR-128-3p	-2.40	-2.42	< 0.1	2007, 2011
Onecut2	ENSMUST00000175965.3	one cut domain, family member 2 	387	4	0	1	3	2	0	1	1	7	mmu-miR-128-3p	-2.32	-2.62	> 0.99	2007, 2009, 2011
Lifr	ENSMUST00000171588.1	leukemia inhibitory factor receptor 	3637	1	0	0	1	4	3	0	1	1	mmu-miR-128-3p	-1.78	-2.24	0.73	2007, 2009, 2011
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	1	1	0	0	3	0	2	1	2	mmu-miR-128-3p	-1.69	-1.69	0.61	2009, 2011
Szrd1	ENSMUST00000102487.3	SUZ RNA binding domain containing 1 	806	4	4	0	0	0	0	0	0	0	mmu-miR-128-3p	-1.63	-1.64	> 0.99	2009, 2011
Slc5a3	ENSMUST00000113975.2	solute carrier family 5 (inositol transporters), member 3 	2953	1	1	0	0	1	0	1	0	3	mmu-miR-128-3p	-1.43	-1.45	0.89	2007, 2009, 2011
Mdn1	ENSMUST00000178134.1	midasin homolog (yeast) 	2368	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-1.39	-1.39	0.90	2009, 2011
Sfmbt2	ENSMUST00000041105.6	Scm-like with four mbt domains 2 	19	1	0	1	0	1	1	0	0	1	mmu-miR-128-3p	-1.29	-1.29	0.29	2007, 2009, 2011
Stim2	ENSMUST00000117661.3	stromal interaction molecule 2 	762	1	1	0	0	0	0	0	0	2	mmu-miR-128-3p	-1.27	-1.28	0.90	2005, 2007, 2009, 2011
E130309F12Rik	ENSMUST00000076670.2	RIKEN cDNA E130309F12 gene 	5	1	0	0	1	1	1	0	0	1	mmu-miR-128-3p	-1.27	-1.27	0.73	2007, 2009, 2011
Txnip	ENSMUST00000074519.7	thioredoxin interacting protein 	973	1	0	1	0	2	0	2	0	1	mmu-miR-128-3p	-1.20	-1.26	0.22	2005, 2007, 2009, 2011
Gpd2	ENSMUST00000169687.2	glycerol phosphate dehydrogenase 2, mitochondrial 	6529	1	1	0	0	1	0	1	0	1	mmu-miR-128-3p	-1.18	-1.23	0.34	2007, 2011
Prkd1	ENSMUST00000002765.7	protein kinase D1 	95	2	0	2	0	0	0	0	0	2	mmu-miR-128-3p	-1.14	-1.54	0.67	2005, 2007, 2009, 2011
AI118078	ENSMUST00000085754.4	expressed sequence AI118078 	37	1	1	0	0	2	0	0	2	0	mmu-miR-128-3p	-1.11	-1.11	0.40	2007, 2009, 2011
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	1	1	0	0	3	0	1	2	3	mmu-miR-128-3p	-1.11	-1.79	0.77	
Adora2b	ENSMUST00000018644.2	adenosine A2b receptor 	184	1	1	0	0	2	1	0	1	1	mmu-miR-128-3p	-1.11	-1.13	0.63	2005, 2007, 2009, 2011
Sh2d3c	ENSMUST00000113242.3	SH2 domain containing 3C 	472	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-1.09	-1.09	0.76	2005, 2007, 2009, 2011
Mturn	ENSMUST00000190641.1	maturin, neural progenitor differentiation regulator homolog (Xenopus) 	601	1	0	0	1	1	1	0	0	3	mmu-miR-128-3p	-1.08	-1.43	0.58	2007, 2009, 2011
4632428N05Rik	ENSMUST00000020301.8	RIKEN cDNA 4632428N05 gene 	1274	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-1.08	-1.08	0.35	2009, 2011
Suz12	ENSMUST00000017692.9	suppressor of zeste 12 homolog (Drosophila) 	2150	2	0	1	1	1	0	1	0	1	mmu-miR-128-3p	-1.07	-1.18	0.83	2005, 2007, 2009, 2011
Traf3	ENSMUST00000117269.2	TNF receptor-associated factor 3 	465	1	1	0	0	3	0	2	1	1	mmu-miR-128-3p	-1.06	-1.39	< 0.1	2009, 2011
Ypel3	ENSMUST00000038614.6	yippee-like 3 (Drosophila) 	5667	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-1.03	-1.03	0.34	2005, 2007, 2009, 2011
Ces2e	ENSMUST00000034355.5	carboxylesterase 2E 	575	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-1.01	-1.01	< 0.1	2009, 2011
Trabd	ENSMUST00000081702.6	TraB domain containing 	496	1	0	1	0	2	0	2	0	0	mmu-miR-128-3p	-0.99	-1.22	0.35	2007, 2009, 2011
Agfg1	ENSMUST00000189220.1	ArfGAP with FG repeats 1 	1196	1	0	0	1	4	1	3	0	1	mmu-miR-128-3p	-0.98	-2.56	0.69	2007, 2009, 2011
Aldh1l2	ENSMUST00000020497.8	aldehyde dehydrogenase 1 family, member L2 	128	1	1	0	0	2	1	1	0	1	mmu-miR-128-3p	-0.97	-2.04	0.43	2009, 2011
Ngfr	ENSMUST00000000122.6	nerve growth factor receptor (TNFR superfamily, member 16) 	14	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.97	-0.97	0.63	2005, 2007, 2009, 2011
Stk32b	ENSMUST00000094836.4	serine/threonine kinase 32B 	7	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.90	-0.90	0.28	2005, 2007, 2009, 2011
Arhgap32	ENSMUST00000174641.2	Rho GTPase activating protein 32 	299	1	1	0	0	0	0	0	0	2	mmu-miR-128-3p	-0.88	-1.03	0.90	2011
Anks1	ENSMUST00000025058.8	ankyrin repeat and SAM domain containing 1 	1368	4	3	1	0	1	0	0	1	0	mmu-miR-128-3p	-0.87	-0.87	> 0.99	2009, 2011
Rnf103	ENSMUST00000114178.2	ring finger protein 103 	693	1	1	0	0	1	0	0	1	0	mmu-miR-128-3p	-0.86	-1.06	< 0.1	
Nova1	ENSMUST00000021438.6	neuro-oncological ventral antigen 1 	234	3	0	1	2	0	0	0	0	5	mmu-miR-128-3p	-0.86	-1.02	0.95	2005, 2007, 2011
Mtmr12	ENSMUST00000038172.9	myotubularin related protein 12 	508	1	0	1	0	2	0	1	1	2	mmu-miR-128-3p	-0.84	-1.49	0.67	2005, 2007, 2009, 2011
Zc3h12b	ENSMUST00000082183.7	zinc finger CCCH-type containing 12B 	40	2	0	1	1	1	0	0	1	1	mmu-miR-128-3p	-0.83	-1.00	0.90	2005, 2007
Notch2	ENSMUST00000079812.6	notch 2 	1331	1	1	0	0	1	0	0	1	1	mmu-miR-128-3p	-0.81	-1.04	< 0.1	2005, 2007, 2009, 2011
Paip2	ENSMUST00000041314.9	polyadenylate-binding protein-interacting protein 2 	8516	1	0	1	0	2	0	0	2	1	mmu-miR-128-3p	-0.80	-1.32	0.71	2005, 2007, 2009, 2011
Hipk2	ENSMUST00000161779.2	homeodomain interacting protein kinase 2 	4649	3	0	1	2	2	1	1	0	3	mmu-miR-128-3p	-0.78	-0.81	0.91	
Rab27a	ENSMUST00000184146.2	RAB27A, member RAS oncogene family 	42	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.77	-0.84	< 0.1	2005, 2007, 2009, 2011
Nav2	ENSMUST00000184945.2	neuron navigator 2 	536	2	0	1	1	0	0	0	0	0	mmu-miR-128-3p	-0.76	-0.90	0.81	2005, 2007, 2009, 2011
Nyap2	ENSMUST00000123285.1	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2 	5	2	2	0	0	1	1	0	0	2	mmu-miR-128-3p	-0.75	-0.75	0.99	2009, 2011
Zfp275	ENSMUST00000114499.2	zinc finger protein 275 	848	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.75	-0.75	0.12	2009, 2011
Lypd3	ENSMUST00000080718.4	Ly6/Plaur domain containing 3 	8	1	0	0	1	1	0	1	0	0	mmu-miR-128-3p	-0.74	-0.74	0.49	2005, 2007, 2009, 2011
Gtf2a2	ENSMUST00000118198.2	general transcription factor II A, 2 	2873	1	0	1	0	1	0	0	1	1	mmu-miR-128-3p	-0.70	-0.99	0.64	2005, 2007, 2009, 2011
Phb	ENSMUST00000125172.2	prohibitin 	958	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.69	-0.69	0.69	2005, 2007, 2009, 2011
Axin1	ENSMUST00000074370.4	axin 1 	10	1	0	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.69	-0.69	0.50	2005, 2007, 2009, 2011
Ruvbl2	ENSMUST00000033087.5	RuvB-like protein 2 	338	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.68	-0.69	0.18	2007, 2009, 2011
Clpp	ENSMUST00000002735.7	caseinolytic mitochondrial matrix peptidase proteolytic subunit 	8626	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.67	-0.67	0.67	2005, 2007, 2009, 2011
Pdia5	ENSMUST00000023550.7	protein disulfide isomerase associated 5 	561	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.67	-0.67	0.68	2005, 2007, 2009, 2011
Ddx6	ENSMUST00000170489.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 	585	1	0	1	0	0	0	0	0	3	mmu-miR-128-3p	-0.66	-0.67	0.48	2005, 2007, 2009, 2011
Ube2e2	ENSMUST00000150727.2	ubiquitin-conjugating enzyme E2E 2 	1881	2	0	2	0	0	0	0	0	2	mmu-miR-128-3p	-0.66	-0.66	0.91	2005, 2007, 2009, 2011
Matn3	ENSMUST00000020899.4	matrilin 3 	10	1	0	0	1	2	1	1	0	0	mmu-miR-128-3p	-0.65	-1.06	0.58	2005, 2007, 2009, 2011
Poglut1	ENSMUST00000036210.6	protein O-glucosyltransferase 1 	1048	2	2	0	0	0	0	0	0	2	mmu-miR-128-3p	-0.65	-0.67	0.83	2007, 2009, 2011
Ank2	ENSMUST00000182704.2	ankyrin 2, brain 	446	1	0	0	1	1	0	1	0	2	mmu-miR-128-3p	-0.64	-0.81	0.72	2005, 2007, 2009, 2011
Foxq1	ENSMUST00000042118.9	forkhead box Q1 	56	1	0	1	0	0	0	0	0	1	mmu-miR-128-3p	-0.63	-0.65	0.25	2005, 2007, 2009, 2011
Plk2	ENSMUST00000022212.7	polo-like kinase 2 	2715	2	0	0	2	2	2	0	0	1	mmu-miR-128-3p	-0.62	-0.71	0.93	2005, 2007, 2009, 2011
Olfr13	ENSMUST00000059512.4	olfactory receptor 13 	5	1	1	0	0	0	0	0	0	0	mmu-miR-128-3p	-0.62	-0.62	< 0.1	
Dcun1d4	ENSMUST00000063882.6	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae) 	353	2	1	0	1	1	0	1	0	2	mmu-miR-128-3p	-0.62	-0.64	0.97	2007, 2009, 2011
Rab20	ENSMUST00000033900.5	RAB20, member RAS oncogene family 	206	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.62	-0.62	0.47	2007
Rps6ka5	ENSMUST00000043599.6	ribosomal protein S6 kinase, polypeptide 5 	139	3	0	2	1	1	0	1	0	2	mmu-miR-128-3p	-0.62	-0.62	0.96	2005, 2007, 2009, 2011
Sorl1	ENSMUST00000060989.8	sortilin-related receptor, LDLR class A repeats-containing 	1091	2	0	1	1	2	0	2	0	2	mmu-miR-128-3p	-0.61	-0.92	0.85	
Vegfc	ENSMUST00000033919.4	vascular endothelial growth factor C 	131	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.61	-0.77	0.92	2005, 2007, 2009, 2011
Hoxa13	ENSMUST00000147595.3	homeobox A13 	41	1	1	0	0	1	0	1	0	1	mmu-miR-128-3p	-0.61	-0.77	0.68	2005, 2007
Mknk2	ENSMUST00000003433.6	MAP kinase-interacting serine/threonine kinase 2 	387	1	0	0	1	1	0	0	1	0	mmu-miR-128-3p	-0.61	-0.72	0.66	2005, 2007, 2009, 2011
H3f3b	ENSMUST00000106454.2	H3 histone, family 3B 	1229	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.59	-0.60	0.91	2005, 2007, 2009, 2011
Zbtb20	ENSMUST00000114694.3	zinc finger and BTB domain containing 20 	293	4	1	0	3	4	0	3	1	3	mmu-miR-128-3p	-0.59	-0.93	0.99	
Gm7120	ENSMUST00000177361.1	predicted gene 7120 	7	1	1	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.59	-0.85	< 0.1	
Prkx	ENSMUST00000036333.8	protein kinase, X-linked 	242	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.59	-0.61	0.66	2005, 2007
Ttc39a	ENSMUST00000064129.8	tetratricopeptide repeat domain 39A 	72	1	1	0	0	1	0	1	0	0	mmu-miR-128-3p	-0.58	-0.60	0.90	2007, 2009, 2011
Col11a2	ENSMUST00000087497.5	collagen, type XI, alpha 2 	45	1	0	1	0	0	0	0	0	0	mmu-miR-128-3p	-0.58	-0.75	0.51	2007, 2009, 2011
Ak2	ENSMUST00000102604.5	adenylate kinase 2 	7284	1	1	0	0	1	0	0	1	0	mmu-miR-128-3p	-0.58	-0.58	0.26	2005, 2007, 2009, 2011
Dot1l	ENSMUST00000105336.3	DOT1-like, histone H3 methyltransferase (S. cerevisiae) 	448	2	2	0	0	0	0	0	0	1	mmu-miR-128-3p	-0.57	-0.60	0.81	2005, 2007, 2009, 2011
Plagl1	ENSMUST00000121646.2	pleiomorphic adenoma gene-like 1 	345	1	0	1	0	1	0	0	1	1	mmu-miR-128-3p	-0.57	-0.57	0.62	2005, 2007, 2009, 2011
Ppp1cc	ENSMUST00000102528.5	protein phosphatase 1, catalytic subunit, gamma isoform 	22	1	1	0	0	1	0	0	1	0	mmu-miR-128-3p	-0.57	-0.57	0.92	2005, 2007, 2009, 2011
Fzd7	ENSMUST00000114246.3	frizzled homolog 7 (Drosophila) 	197	1	0	0	1	1	0	0	1	0	mmu-miR-128-3p	-0.57	-0.57	0.62	2005, 2007, 2009, 2011
