circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:2277718|2282190	1	2277718	2282190	2	2_2_0	20	0.167	exon	ENSRNOG00000015552,	+	NB501259:26:HYTWLBGXX:1:22105:17431:16019,NB501259:26:HYTWLBGXX:2:11208:13898:11805,
1:26079313|26093015	1	26079313	26093015	2	2_2_0	4	0.500	exon	ENSRNOG00000013323,	+	NB501259:26:HYTWLBGXX:1:12307:21669:20202,NB501259:26:HYTWLBGXX:3:11501:8868:2989,
1:85559160|85560404	1	85559160	85560404	3	1_3_0	254	0.023	exon	ENSRNOG00000050104,	+	NB501259:26:HYTWLBGXX:4:21610:8436:18585,NB501259:26:HYTWLBGXX:1:22302:5142:2740,NB501259:26:HYTWLBGXX:3:11401:14707:7690,
1:88387126|88391526	1	88387126	88391526	1	1_1_0	38	0.050	exon	ENSRNOG00000021573,	-	NB501259:26:HYTWLBGXX:3:11402:13864:8545,
1:90646441|90669364	1	90646441	90669364	1	1_1_0	4	0.333	exon	ENSRNOG00000014463,	-	NB501259:26:HYTWLBGXX:4:12410:21625:4135,
1:110176826|110180291	1	110176826	110180291	2	1_1_0	34	0.105	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11201:26267:8312,NB501259:26:HYTWLBGXX:4:22501:10913:4345,
1:110197577|110251329	1	110197577	110251329	1	1_1_0	9	0.182	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:21603:7219:14865,
1:110236584|110269447	1	110236584	110269447	8	6_2_0	24	0.400	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21204:22622:7612,NB501259:26:HYTWLBGXX:2:11201:6695:7728,NB501259:26:HYTWLBGXX:2:22104:18570:2147,NB501259:26:HYTWLBGXX:3:12507:24407:10529,NB501259:26:HYTWLBGXX:3:22607:15261:9145,NB501259:26:HYTWLBGXX:4:11412:2123:13601,NB501259:26:HYTWLBGXX:4:13506:15577:1589,NB501259:26:HYTWLBGXX:4:21507:17452:4460,
1:110237001|110267119	1	110237001	110267119	10	3_2_2	14	0.588	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21201:9043:11207,NB501259:26:HYTWLBGXX:3:22501:14613:7761,NB501259:26:HYTWLBGXX:4:13501:17914:2311,NB501259:26:HYTWLBGXX:4:13610:18423:2756,NB501259:26:HYTWLBGXX:4:21603:6342:20022,NB501259:26:HYTWLBGXX:2:13306:22346:4942,NB501259:26:HYTWLBGXX:3:13607:17233:8474,NB501259:26:HYTWLBGXX:3:21510:10723:11131,NB501259:26:HYTWLBGXX:3:22412:23475:4206,NB501259:26:HYTWLBGXX:3:23603:5973:3078,
1:110238421|110289318	1	110238421	110289318	2	2_1_0	21	0.160	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:12503:11355:10794,NB501259:26:HYTWLBGXX:3:21405:25856:14528,
1:110288784|110296663	1	110288784	110296663	1	1_1_0	11	0.154	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:21208:12506:8877,
